work_year,experience_level_full,avg_salary,median_salary,count
2020,Entry,71037.9,53031.5,20
2020,Executive,179958.25,189916.5,4
2020,Mid,91870.94,79833.0,31
2020,Senior,138648.89,120000.0,19
2021,Entry,63892.0,61915.5,44
2021,Executive,174535.0,145923.0,8
2021,Mid,85815.99,74500.0,82
2021,Senior,126759.3,115000.0,69
2022,Entry,73969.91,62783.0,90
2022,Executive,182882.28,181080.0,36
2022,Mid,100066.66,92350.0,268
2022,Senior,149241.32,145000.0,631
2023,Entry,88237.26,80000.0,269
2023,Executive,192441.58,185000.0,154
2023,Mid,126597.73,115092.0,901
2023,Senior,165579.46,157550.0,2545
2024,Entry,102491.98,88888.0,1933
2024,Executive,201404.76,200000.0,368
2024,Mid,138611.15,125150.0,4094
2024,Senior,166295.58,155466.5,6816
2025,Entry,95376.63,83331.5,1908
2025,Executive,194014.12,188000.0,379
2025,Mid,132087.14,120000.0,4212
2025,Senior,162971.45,150500.0,7354
