work_year,experience_level_full,avg_salary,count
2020,Entry,71037.9,20
2020,Executive,179958.25,4
2020,Mid,91870.94,31
2020,Senior,138648.89,19
2021,Entry,63892.0,44
2021,Executive,174535.0,8
2021,Mid,82745.71,79
2021,Senior,125323.72,67
2022,Entry,73969.91,90
2022,Executive,185105.6,35
2022,Mid,100385.26,267
2022,Senior,148388.27,600
2023,Entry,88773.01,257
2023,Executive,193814.28,147
2023,Mid,127478.11,841
2023,Senior,166779.17,2326
2024,Entry,102574.86,1763
2024,Executive,202380.26,311
2024,Mid,140372.02,3801
2024,Senior,168572.82,5937
2025,Entry,95491.73,1813
2025,Executive,195942.98,335
2025,Mid,132861.32,3972
2025,Senior,164289.27,6557
